Player_Name,Team,Nationality,Primary_Level,Primary_Role,Batting_Style,Capped_Status
Vihaan Malhotra,Royal Challengers Bengaluru,India,IPL,Top-Order Batter,Left-handed,Capped
Kanishk Chouhan,Royal Challengers Bengaluru,India,IPL,Top-Order Batter,Right-handed,Capped
Dhruv Jurel,Rajasthan Royals,India,IPL,Wicketkeeper,Right-handed,Capped
Donovan Ferreira,Delhi Capitals,Overseas,IPL,Allrounder,Right-handed,Capped
Jofra Archer,Rajasthan Royals,Overseas,IPL,Bowler,Right-handed,Capped
Kwena Maphaka,Rajasthan Royals,Overseas,IPL,Bowler,Left-handed,Capped
Lhuan-dre Pretorius,Rajasthan Royals,Overseas,IPL,Top-Order Batter,Left-handed,Capped
Nandre Burger,Rajasthan Royals,Overseas,IPL,Bowler,Left-handed,Capped
Ravindra Jadeja,Chennai Super Kings,India,IPL,Allrounder,Left-handed,Capped
Riyan Parag,Rajasthan Royals,India,IPL,Allrounder,Right-handed,Capped
Sam Curran,Chennai Super Kings,Overseas,IPL,Allrounder,Left-handed,Capped
Sandeep Sharma,Rajasthan Royals,India,IPL,Bowler,Right-handed,Capped
Shimron Hetmyer,Rajasthan Royals,Overseas,IPL,Top-Order Batter,Left-handed,Capped
Shubham Dubey,Rajasthan Royals,India,IPL,Top-Order Batter,Left-handed,Uncapped
Tushar Deshpande,Rajasthan Royals,India,IPL,Bowler,Right-handed,Capped
Vaibhav Suryavanshi,Rajasthan Royals,India,IPL,Top-Order Batter,Left-handed,Capped
Yashasvi Jaiswal,Rajasthan Royals,India,IPL,Top-Order Batter,Left-handed,Capped
Yudhvir Singh,Rajasthan Royals,India,IPL,Allrounder,Right-handed,Capped
Ravi Singh,Lucknow Super Giants,India,IPL,Bowler,Left-handed,Uncapped
Ravi Bishnoi,Lucknow Super Giants,India,IPL,Bowler,Right-handed,Capped
Yash Raj Punja,Rajasthan Royals,India,IPL,Bowler,Right-handed,Capped
Vignesh Puthur,Mumbai Indians,India,IPL,Allrounder,Right-handed,Capped
Sushant Mishra,Rajasthan Royals,India,IPL,Bowler,Left-handed,Capped
Brijesh Mishra,Rajasthan Royals,India,IPL,Top-Order Batter,Right-handed,Capped
Adam Milne,Rajasthan Royals,Overseas,IPL,Bowler,Right-handed,Capped
Aman Rao,Rajasthan Royals,India,IPL,Bowler,Right-handed,Capped
Kuldeep Sen,Punjab Kings,India,IPL,Bowler,Right-handed,Capped
Anuj Rawat,Gujarat Titans,India,IPL,Wicketkeeper,Left-handed,Uncapped
Glenn Phillips,Gujarat Titans,Overseas,IPL,Top-Order Batter,Right-handed,Capped
Gurnoor Singh Brar,Gujarat Titans,India,IPL,Bowler,Right-handed,Uncapped
Ishant Sharma,Gujarat Titans,India,IPL,Bowler,Right-handed,Capped
Jayant Yadav,Gujarat Titans,India,IPL,Allrounder,Right-handed,Capped
Jos Buttler,Gujarat Titans,Overseas,IPL,Wicketkeeper,Right-handed,Capped
Kagiso Rabada,Gujarat Titans,Overseas,IPL,Bowler,Right-handed,Capped
Kumar Kushagra,Gujarat Titans,India,IPL,Wicketkeeper,Right-handed,Capped
Manav Suthar,Gujarat Titans,India,IPL,Bowler,Left-handed,Uncapped
Mohammed Siraj,Gujarat Titans,India,IPL,Bowler,Right-handed,Capped
Mohd Arshad Khan,Gujarat Titans,India,IPL,Allrounder,Left-handed,Capped
Nishant Sindhu,Gujarat Titans,India,IPL,Allrounder,Left-handed,Capped
Prasidh Krishna,Gujarat Titans,India,IPL,Bowler,Right-handed,Capped
R Sai Kishore,Gujarat Titans,India,IPL,Allrounder,Left-handed,Capped
Rahul Tewatia,Gujarat Titans,India,IPL,Bowler,Left-handed,Capped
Rashid Khan,Gujarat Titans,Overseas,IPL,Bowler,Right-handed,Capped
Sai Sudharsan,Gujarat Titans,India,IPL,Top-Order Batter,Left-handed,Capped
Shahrukh Khan,Gujarat Titans,India,IPL,Allrounder,Right-handed,Capped
Shubman Gill,Gujarat Titans,India,IPL,Top-Order Batter,Right-handed,Capped
Washington Sundar,Gujarat Titans,India,IPL,Allrounder,Left-handed,Capped
Jason Holder,Gujarat Titans,Overseas,IPL,Allrounder,Right-handed,Capped
Ashok Sharma,Rajasthan Royals,India,IPL,Bowler,Right-handed,Capped
Tom Banton,Gujarat Titans,Overseas,IPL,Wicketkeeper,Right-handed,Capped
Prithvi Raj Yarra,Gujarat Titans,India,IPL,Bowler,Left-handed,Capped
Luke Wood,Gujarat Titans,Overseas,IPL,Bowler,Left-handed,Capped
Arshdeep Singh,Punjab Kings,India,IPL,Bowler,Left-handed,Capped
Azmatullah Omarzai,Punjab Kings,Overseas,IPL,Allrounder,Right-handed,Capped
Harnoor Pannu,Punjab Kings,India,IPL,Top-Order Batter,Left-handed,Uncapped
Harpreet Brar,Punjab Kings,India,IPL,Allrounder,Left-handed,Capped
Lockie Ferguson,Punjab Kings,Overseas,IPL,Bowler,Right-handed,Capped
Marco Jansen,Punjab Kings,Overseas,IPL,Allrounder,Right-handed,Capped
Marcus Stoinis,Punjab Kings,Overseas,IPL,Allrounder,Right-handed,Capped
Mitch Owen,Punjab Kings,Overseas,IPL,Allrounder,Right-handed,Capped
Musheer Khan,Punjab Kings,India,IPL,Allrounder,Right-handed,Capped
Nehal Wadhera,Punjab Kings,India,IPL,Top-Order Batter,Left-handed,Capped
Prabhsimran Singh,Punjab Kings,India,IPL,Wicketkeeper,Right-handed,Capped
Priyansh Arya,Punjab Kings,India,IPL,Allrounder,Left-handed,Capped
Pyla Avinash,Punjab Kings,India,IPL,Top-Order Batter,Right-handed,Capped
Shashank Singh,Punjab Kings,India,IPL,Top-Order Batter,Right-handed,Capped
Shreyas Iyer,Punjab Kings,India,IPL,Top-Order Batter,Right-handed,Capped
Suryansh Shedge,Punjab Kings,India,IPL,Allrounder,Right-handed,Capped
Vishnu Vinod,Punjab Kings,India,IPL,Wicketkeeper,Right-handed,Capped
Vyshak Vijaykumar,Punjab Kings,India,IPL,Bowler,Right-handed,Capped
Xavier Bartlett,Punjab Kings,Overseas,IPL,Bowler,Right-handed,Capped
Yash Thakur,Punjab Kings,India,IPL,Bowler,Right-handed,Capped
Yuzvendra Chahal,Punjab Kings,India,IPL,Bowler,Right-handed,Capped
Cooper Connolly,Punjab Kings,Overseas,IPL,Top-Order Batter,Right-handed,Capped
Praveen Dubey,Punjab Kings,India,IPL,Allrounder,Right-handed,Capped
Vishal Nishad,Punjab Kings,India,IPL,Top-Order Batter,Right-handed,Capped
Ben Dwarshuis,Punjab Kings,Overseas,IPL,Bowler,Left-handed,Capped
